geo,name,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,"World bank, 4 income groups 2017"
afg,Afghanistan,asia,asia_west,south_asia,g77,33,66,17125,South Asia,Low income
alb,Albania,europe,europe_east,europe_central_asia,others,41,20,20437,Europe & Central Asia,Upper middle income
dza,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,22927,Middle East & North Africa,Upper middle income
and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,34178,Europe & Central Asia,High income
ago,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,28095,Sub-Saharan Africa,Lower middle income
atg,Antigua and Barbuda,americas,america_north,america,g77,17.05,-61.8,29901,Latin America & Caribbean,High income
arg,Argentina,americas,america_south,america,g77,-34,-64,16734,Latin America & Caribbean,Upper middle income
arm,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,33665,Europe & Central Asia,Lower middle income
aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,16742,East Asia & Pacific,High income
aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,20437,Europe & Central Asia,High income
aze,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,33665,Europe & Central Asia,Upper middle income
bhs,Bahamas,americas,america_north,america,g77,25.04082,-77.37122,26894,Latin America & Caribbean,High income
bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,26197,Middle East & North Africa,High income
bgd,Bangladesh,asia,asia_west,south_asia,g77,24,90,27289,South Asia,Lower middle income
brb,Barbados,americas,america_north,america,g77,13.16667,-59.53333,24450,Latin America & Caribbean,High income
blr,Belarus,europe,europe_east,europe_central_asia,others,53,28,16734,Europe & Central Asia,Upper middle income
bel,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,16798,Europe & Central Asia,High income
blz,Belize,americas,america_north,america,g77,17.49952,-88.19756,29854,Latin America & Caribbean,Upper middle income
ben,Benin,africa,africa_sub_saharan,sub_saharan_africa,g77,9.5,2.25,22179,Sub-Saharan Africa,Low income
